text,label,合併後所有label,同樣text下原始所有label
「北投區知行路260巷40號五樓」二類謄本暨異動索引。,士林地政事務所,['其他'],['士林地政事務所']
"1. 請按月提供111-112年動物園內各賣店營業額
(以上資料請務必提供格式電子檔，製表者請另附xls,xlsx或ods格式表單電子檔，寄至email：coco88821@gmail.com 謝謝!)",立動物園,['其他'],['立動物園']
"1. 請提供110-112年""市立大學天母校區內""與""周邊""各列刑案種類、件數。(依年度統計)
2. 請提供110-112年""天母運動公園各列刑案種類、件數。(依年度統計)",警察局士林分局,['其他'],['警察局士林分局']
"1. 請提供2022年幼兒園開學規劃專案勞檢案暫緩辦理之後，是否有針對幼兒園勞檢，或提供教保員任何實際勞動條件之保障措施。
2. 請提供2023年勞檢處自辦專案規劃與執行進度。",勞動檢查處,"['勞動局', '其他']","['勞動局', '勞動檢查處']"
"1.北美館對於館內的策展（例如這次的「飛地」），是否有一套館內的策展審查規範？審查者如何組成？是否有訂定審查策展方向及內容的標準或原則？（請提供詳細法規程序規定）

2.無論是館內自行策展或藝術家來北美館申請展覽，館方針對可能涉及政治意識形態的策展內容或作品（例如本次「共登世界大同之境」作品有出現先總統蔣公），是否有明訂任何可展出或不可展出的標準？

3.針對本次「共登世界大同之境」作品，館方在規劃或審查時，是否有館內或館外任何專家學者提出任何意見？",立美術館,['其他'],['立美術館']
"1.目前(新兒童樂園&天文館)館內停車場汽車車位有無提供給一般民眾月租使用
2.目前(新兒童樂園&天文館)所提供月租的汽車車位有多少
3.(新兒童樂園&天文館)館內總汽車車位數量有多少
4.(新兒童樂園&天文館)里民承租汽車車位有無優惠
5.(新兒童樂園&天文館)目前承租汽車車位的方案是甚麼",立天文科學教育館,"['其他', '臺北大眾捷運股份有限公司']","['立天文科學教育館', '臺北大眾捷運股份有限公司']"
"1.近五年，勞動局各年度收到有關勞工申訴違反性別平等工作法件數與違反項目統計表。
2.近兩年查緝到未設哺集乳室之企業、公司名單。",勞動檢查處,"['勞動局', '其他']","['勞動局', '勞動檢查處']"
"1.近五年台北市勞動局勞檢件數、勞檢人員(其中約聘人員多少)幾位、勞檢範圍?
2.近五年「重大職災件數」統計表、造成傷亡人數多少位?
3.近五年各年度台北市勞動檢查員平均工作時數、編列的加班費預算?
4.勞檢員人力是否足夠? 若不足是從何時開始就不足?
5.勞檢人員薪資待遇。",勞動檢查處,"['勞動局', '其他']","['勞動局', '勞動檢查處']"
"1.近五年違反道路交通管理事件成果概況及其中民眾舉發案件數量占比列表
2.檢舉達人獎勵機制列表",交通事件裁決所,"['警察局', '其他']","['交通事件裁決所', '警察局']"
"1.惠請提供110年迄今，各年度外籍人士交通違規人數及案件統計（違規項目及件數）。
2.承1，各年度應繳罰款、已繳罰款、人數、收繳率。
3.承2，各年度外籍人士已離境未結案人數、案件數、未結案金額及佔當年度比率。
4.承2，各年度外籍人士已離境已結案人數（離境後才結案）、案件數、結案金額及佔當年度比率。",交通事件裁決所,['其他'],['交通事件裁決所']
"1.惠請提供北市公務機關太陽能發電設備建置情形（建置年度、面積或數量、經費、經費來源、預估發電量、實際發電量）。
2.北市公務機關共有幾處？已設立太陽能發電設備幾處？
3.承2，已設置太陽能設備機關類別、數量及佔該類別比例。
4.承2，未來各年度預計設置計畫（公部門）。
5.惠請提供北市各年度私部門太陽能發電設備建置情形。
6.承5，各年度補助私部門預算金額及執行情形。
7.惠請提供北市各年度太陽能設置容量及發電量（請區分公/私部門），2030年預計達成容量。
8.開放頂樓違建設置太陽能板申請情形。",立動物園,"['環境保護局', '文山區公所', '臺北自來水事業處', '臺北大眾捷運股份有限公司', '市政大樓公共事務管理中心', '大安區公所', '士林區公所', '社會局', '勞動局', '職能發展學院', '北投區公所', '大同區公所', '警察局', '體育局', '公務人員訓練處', '產業發展局', '其他', '工務局公園路燈工程管理處', '市場處', '都市發展局']","['士林區公所', '大同區公所', '大安區公所', '工務局公園路燈工程管理處', '公務人員訓練處', '文山區公所', '北投區公所', '市政大樓公共事務管理中心', '市場處', '立動物園', '社會局', '產業發展局', '都市發展局', '勞動局', '圖書館', '臺北大眾捷運股份有限公司', '臺北自來水事業處', '環境保護局', '職能發展學院', '警察局', '體育局']"
"1.惠請提供北市公務機關太陽能發電設備建置情形（建置年度、面積或數量、經費、經費來源、預估發電量、實際發電量）。
2.北市公務機關共有幾處？已設立太陽能發電設備幾處？
3.承2，已設置太陽能設備機關類別、數量及佔該類別比例。
4.承2，未來各年度預計設置計畫（公部門）。
5.惠請提供北市各年度私部門太陽能發電設備建置情形。
6.承5，各年度補助私部門預算金額及執行情形。
7.惠請提供北市各年度太陽能設置容量及發電量（請區分公/私部門），2030年預計達成容量。
8.開放頂樓違建設置太陽能板申請情形。",圖書館,"['環境保護局', '文山區公所', '臺北自來水事業處', '臺北大眾捷運股份有限公司', '市政大樓公共事務管理中心', '大安區公所', '士林區公所', '社會局', '勞動局', '職能發展學院', '北投區公所', '大同區公所', '警察局', '體育局', '公務人員訓練處', '產業發展局', '其他', '工務局公園路燈工程管理處', '市場處', '都市發展局']","['士林區公所', '大同區公所', '大安區公所', '工務局公園路燈工程管理處', '公務人員訓練處', '文山區公所', '北投區公所', '市政大樓公共事務管理中心', '市場處', '立動物園', '社會局', '產業發展局', '都市發展局', '勞動局', '圖書館', '臺北大眾捷運股份有限公司', '臺北自來水事業處', '環境保護局', '職能發展學院', '警察局', '體育局']"
"1.惠請提供目前由台北市政府管轄，有編列鄰里回饋金之體育類型場館名單
2.同時也請提供這些場館之回饋金法源依據、金額規模以及適用里範圍",教研中心,"['教育局', '體育局', '其他']","['教育局', '教研中心', '體育局']"
"1.惠請說明目前北市各機關共有多少app？前開app中，分別有多少已通過ISO 27001資安認證？有多少已取得行動應用資安標章MAS？多少已取得ISO 27701 隱私資訊管理認證？以認證別分。
2.惠請提供台北通111年及112年之下載數，以及111年及112年新增會員數。
3.惠請提供台北通112年及113年維護預算？
4.惠請提供111年及112年台北通平台每月平均流量，以月分別分。",立美術館,"['都市發展局', '衛生局', '消防局', '其他', '觀光傳播局', '資訊局', '教育局', '交通局', '警察局']","['立美術館', '交通局', '消防局', '教育局', '都市發展局', '資訊局', '圖書館', '衛生局', '警察局', '觀光傳播局']"
"1.惠請說明目前北市各機關共有多少app？前開app中，分別有多少已通過ISO 27001資安認證？有多少已取得行動應用資安標章MAS？多少已取得ISO 27701 隱私資訊管理認證？以認證別分。
2.惠請提供台北通111年及112年之下載數，以及111年及112年新增會員數。
3.惠請提供台北通112年及113年維護預算？
4.惠請提供111年及112年台北通平台每月平均流量，以月分別分。",圖書館,"['都市發展局', '衛生局', '消防局', '其他', '觀光傳播局', '資訊局', '教育局', '交通局', '警察局']","['立美術館', '交通局', '消防局', '教育局', '都市發展局', '資訊局', '圖書館', '衛生局', '警察局', '觀光傳播局']"
"1.提供108年迄今各機關單位有使用「台北惜物網」出售報廢公產的紀錄，包括年度、交易時間、機關單位名稱、出售公產品項、成交金額...等，製表呈現。
2.提供108年迄今未曾使用「台北惜物網」出售報廢公產的機關單位清單。

以上表格請提供excel檔，謝謝",動產質借處,['其他'],['動產質借處']
"1.提供各年度「台北惜物網」平台建置與維護費用資料，包括年度、建置費用、建置廠商、各年度維護費用、廠商...等，製表呈現。
2.提供108年迄今各年度「台北惜物網」相關統計資料，包括年度、會員人數、新增會員人數、物品件數、交易成功件數、棄單件數、該年度交易金額...等，製表呈現。
3.提供有關「台北惜物網」棄單的相關原因分析。
4.提供108年迄今各年度有關民眾反映台北惜物網的相關意見問題內容，製表呈現。
以上表格請提供excel檔，謝謝",動產質借處,['其他'],['動產質借處']
"1.請提供108年至112年6月29日，因駕車超過速限60KM遭吊扣牌照件數
2.請提供自112年6月30日至今，因駕車超過速限40公里以上遭吊扣牌照數
3.請提供108年至112年6月29日，因駕車超過速限60KM遭吊扣牌照，且不按時繳送被註銷車牌件數。
4.請提供自112年6月30日至今，因駕車超過速限40公里以上遭吊扣牌照數，且不按時繳送被註銷車牌件數",交通事件裁決所,['其他'],['交通事件裁決所']
"1.請提供近5年汽機車牌照吊扣數量，及吊扣車牌原因統計
2.請提供近5年汽機車牌照吊銷數量，及吊銷車牌原因統計",交通事件裁決所,['其他'],['交通事件裁決所']
"1.請提供動物園設計針對遊客填寫之滿意度調查問卷
2.問卷一年可以收回幾份?
3.請說明問卷收集到後，貴單位如何進行數據統計分析?
4.得到的調查結果會有什麼因應作為?",立動物園,['其他'],['立動物園']
"108~113年3月止每年交通違規前20名稱、件數、裁罰總金額、處理情形? (以上資料請務必提供格式電子檔，製表者請另附xls,xlsx或ods格式表單電子檔，寄至email:linanon8@gmail.com)謝謝",交通事件裁決所,['其他'],['交通事件裁決所']
"108~113年台北市每年交通違規罰鍰逾期未繳者前15名名稱、件數，未繳總金額?如何執行及成果?(以上資料請務必提供格式電子檔，製表者請另附xls,xlsx或ods格式表單電子檔，寄至email:linanon8@gmail.com)謝謝",交通事件裁決所,['其他'],['交通事件裁決所']
112年更換動物醫療器材設備完成情形(請提供清冊),立動物園,['其他'],['立動物園']
"一、110年至113年9月底 ,每年交通違規行為罰鍰金額前5名，分別為哪些項目?各項目的金額是多少?",交通事件裁決所,['其他'],['交通事件裁決所']
一、依研考會2024/03/26提供本辦近五年市民陳情案件統計表所示，請貴單位提供近五年市民陳情案樣態分析表，並以前20種陳情樣統計件數，結案件數，民眾滿意度，請逐年表列說明。,勞動力重建運用處,"['環境保護局', '工務局水利工程處', '觀光傳播局', '臺北自來水事業處', '公共運輸處', '社會局', '交通管制工程處', '勞動局', '衛生局', '教育局', '建築管理工程處', '都市發展局', '工務局新建工程處', '消防局', '體育局', '動物保護處', '工務局衛生下水道工程處', '其他', '商業處', '停車管理工程處', '工務局公園路燈工程管理處', '市場處', '民政局']","['工務局公園路燈工程管理處', '工務局水利工程處', '工務局新建工程處', '工務局衛生下水道工程處', '公共運輸處', '市場處', '民政局', '交通管制工程處', '社會局', '建築管理工程處', '消防局', '停車管理工程處', '動物保護處', '商業處', '教育局', '都市發展局', '勞動力重建運用處', '勞動局', '臺北自來水事業處', '衛生局', '環境保護局', '體育局', '觀光傳播局']"
"一、近五年(109年度至113年四月底)，違反道路交通管理處罰條例，裁罰吊扣車牌之車輛數，另請註明112年6月30日起實施交通違規記點新制實施後，須吊扣車牌數。本索資請裁決所答覆
二、近五年(109年度至113年四月底)偽造、變造車牌查獲件數、查獲偽造、變造車牌執法方式。以上請交通大隊答覆。",交通事件裁決所,"['警察局', '其他']","['交通事件裁決所', '警察局']"
